device_use,devicetype,latitude,longitude,location_parameters,device_status,network,Cost
Wifi Device Counter,nCounter,-38.1686428,144.3509363,unknown,unknown,LoraWAN (TTN),90673
Wifi Device Counter,nCounter,-38.1691458,144.3511856,unknown,Active,LoraWAN (TTN),76450
Wifi Device Counter,nCounter,-38.1687411,144.3510241,unknown,unknown,LoraWAN (TTN),96542
Indoor Temp Sensor,Elsys.SE ESM5K,-38.1496331,144.360899,unknown,unknown,LoraWAN (TTN),47938
Indoor Temp Sensor,Elsys.SE ESM5K,-38.1493579,144.3595975,unknown,unknown,LoraWAN (TTN),24520
Wifi Device Counter,Cisco Meraki,-38.147158,144.358161,unknown,unknown,Not LoraWAN,87320
Wifi Device Counter,Cisco Meraki,-38.143364,144.361926,unknown,unknown,Not LoraWAN,18239
Wifi Device Counter,Cisco Meraki,-38.147308,144.373781,unknown,unknown,Not LoraWAN,93636
Wifi Device Counter,nCounter,-38.147906,144.363372,unknown,unknown,LoraWAN (TTN),88371
Wifi Device Counter,nCounter,-38.1469395,144.3599357,unknown,unknown,LoraWAN (TTN),12397
Wifi Device Counter,nCounter,-38.1468119,144.3588074,unknown,unknown,LoraWAN (TTN),60697
Wifi Device Counter,Cisco Meraki,-38.147929,144.358854,unknown,unknown,Not LoraWAN,93004
Wifi Device Counter,Cisco Meraki,-38.14768,144.361951,unknown,unknown,Not LoraWAN,96914
Parking,Turbo,-38.1482576,144.3638867,2P Parrallel,Active,LoraWAN (TTN),85080
Parking,Turbo,-38.1526821,144.3634288,2P Median,Active,LoraWAN (TTN),66529
Parking,Turbo,-38.1485746,144.3602221,2P Parrallel,Active,LoraWAN (TTN),65566
Parking,Turbo,-38.1475031,144.3573301,2P Parrallel,Active,LoraWAN (TTN),72528
Wifi Device Counter,nCounter,-38.1424258,144.360149,unknown,Inactive,LoraWAN (TTN),2683
Wifi Device Counter,nCounter,-38.1439919,144.3637687,unknown,Inactive,LoraWAN (TTN),34743
Wifi Device Counter,nCounter,-38.1454818,144.3657981,unknown,Inactive,LoraWAN (TTN),43818
Wifi Device Counter,nCounter,-38.1469338,144.3711246,unknown,Active,LoraWAN (TTN),70087
Wifi Device Counter,nCounter,-38.1746141,144.3430678,unknown,Active,LoraWAN (TTN),84634
Wifi Device Counter,nCounter,-38.1274401,144.3549584,unknown,Active,LoraWAN (TTN),45125
Weather Station,Atmos,-38.1220226,144.3591414,unknown,Active,LoraWAN (TTN),80039
Weather Station,Atmos,-38.1456638,144.3587789,unknown,Active,LoraWAN (TTN),66691
Weather Station,Atmos,-38.1274401,144.3549584,unknown,Inactive,Not LoraWAN,59946
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,97653
Wifi Device Counter,nCounter,-38.1687756,144.3512498,unknown,Active,Not LoraWAN,69496
Wifi Device Counter,Cisco Meraki,-38.143849,144.362906,unknown,unknown,Not LoraWAN,81618
Wifi Device Counter,nCounter,-38.1458692,144.3581138,unknown,Active,Not LoraWAN,60410
Wifi Device Counter,nCounter,-38.1496014,144.3608612,unknown,unknown,Not LoraWAN,34418
Wifi Device Counter,nCounter,-38.1470072,144.3565397,unknown,unknown,Not LoraWAN,26613
Wifi Device Counter,nCounter,-38.14762,144.3622749,unknown,Active,Not LoraWAN,81632
Parking,Turbo,-38.148484,144.362902,2P Parrallel,Active,LoraWAN (TTN),51377
Parking,Turbo,-38.1484674,144.3631551,2P Parrallel,Active,LoraWAN (TTN),14565
Parking,Turbo,-38.1515048,144.3643487,2P Diagonal,Active,LoraWAN (TTN),58682
Parking,Turbo,-38.1495576,144.3603029,2P Parrallel,Active,LoraWAN (TTN),54721
Parking,Turbo,-38.1510081,144.3579266,2P Parrallel,Active,LoraWAN (TTN),47059
Parking,Turbo,-38.1512738,144.3581845,2P Parrallel,Active,LoraWAN (TTN),39385
Parking,Turbo,-38.1472291,144.3567211,2P Parrallel,Active,LoraWAN (TTN),38980
Parking,Turbo,-38.1483292,144.3648312,2P Parrallel,Active,LoraWAN (TTN),90699
Wifi Device Counter,nCounter,-38.1430798,144.361831,unknown,Active,LoraWAN (TTN),58791
Wifi Device Counter,nCounter,-38.1463294,144.367355,unknown,Inactive,LoraWAN (TTN),33058
Wifi Device Counter,nCounter,-38.1479277,144.3588385,unknown,Active,LoraWAN (TTN),43362
Weather Station,Atmos,-38.1861465,144.3938752,unknown,Active,Not LoraWAN,39046
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,50304
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,61898
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,16818
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,41481
Wifi Device Counter,nCounter,-38.1494367,144.3774611,unknown,Active,LoraWAN (TTN),84579
Wifi Device Counter,nCounter,-38.1446587,144.3592925,unknown,Assigned,LoraWAN (TTN),9886
Indoor Temp Sensor,Elsys.SE ESM5K,-38.144711,144.360452,unknown,unknown,LoraWAN (TTN),6856
Indoor Temp Sensor,Elsys.SE ESM5K,-38.1468119,144.3588074,unknown,unknown,LoraWAN (TTN),18649
Wifi Device Counter,nCounter,-38.1493122,144.3770579,unknown,Active,LoraWAN (TTN),82440
Wifi Device Counter,nCounter,-38.1447631,144.3595969,unknown,Active,LoraWAN (TTN),87687
Wifi Device Counter,nCounter,-38.1496014,144.3608612,unknown,unknown,LoraWAN (TTN),45132
Wifi Device Counter,nCounter,-38.1489155,144.3584489,unknown,Active,LoraWAN (TTN),46502
Wifi Device Counter,nCounter,-38.1474393,144.3576924,unknown,Active,LoraWAN (TTN),65901
Wifi Device Counter,Cisco Meraki,-38.148573,144.361279,unknown,unknown,Not LoraWAN,18462
Parking,Turbo,-38.1521818,144.3642471,2P Diagonal,Active,LoraWAN (TTN),3887
Parking,Turbo,-38.1525202,144.3632244,2P Parrallel,Active,LoraWAN (TTN),52404
Parking,Turbo,-38.1485123,144.3611459,2P Parrallel,Active,LoraWAN (TTN),29860
Parking,Turbo,-38.1495716,144.3610219,2P Parrallel,Active,LoraWAN (TTN),93199
Parking,Turbo,-38.1498852,144.3614617,2P Parrallel,Active,LoraWAN (TTN),34891
Parking,Turbo,-38.1510205,144.3573064,2P Parrallel,Active,LoraWAN (TTN),59722
Parking,Turbo,-38.1483584,144.3646351,2P Median,Active,LoraWAN (TTN),81703
Parking,Turbo,-38.1432402,144.3611037,3P Diagonal,Active,LoraWAN (TTN),10552
Parking,Turbo,-38.1514218,144.364608,2P Diagonal,To be installed,LoraWAN (TTN),10820
Wifi Device Counter,nCounter,-38.1467049,144.3683997,unknown,Active,LoraWAN (TTN),96799
Wifi Device Counter,nCounter,-38.1475187,144.3737408,unknown,Inactive,LoraWAN (TTN),31052
Wifi Device Counter,nCounter,-38.1861465,144.3938752,unknown,Active,LoraWAN (TTN),61279
Wifi Device Counter,nCounter,-38.1220226,144.3591414,unknown,Active,LoraWAN (TTN),92529
Wifi Device Counter,nCounter,-38.1456638,144.3587789,unknown,Assigned,LoraWAN (TTN),68951
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,51773
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,15592
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,20868
Wifi Device Counter,nCounter,-38.1686428,144.3509363,unknown,unknown,LoraWAN (TTN),7014
Wifi Device Counter,nCounter,-38.1691458,144.3511856,unknown,Active,LoraWAN (TTN),83048
Wifi Device Counter,nCounter,-38.1687411,144.3510241,unknown,unknown,LoraWAN (TTN),69873
Indoor Temp Sensor,Elsys.SE ESM5K,-38.1496331,144.360899,unknown,unknown,LoraWAN (TTN),87845
Indoor Temp Sensor,Elsys.SE ESM5K,-38.1493579,144.3595975,unknown,unknown,LoraWAN (TTN),36520
Wifi Device Counter,Cisco Meraki,-38.147158,144.358161,unknown,unknown,Not LoraWAN,62206
Wifi Device Counter,Cisco Meraki,-38.143364,144.361926,unknown,unknown,Not LoraWAN,93471
Wifi Device Counter,Cisco Meraki,-38.147308,144.373781,unknown,unknown,Not LoraWAN,88874
Wifi Device Counter,nCounter,-38.147906,144.363372,unknown,unknown,LoraWAN (TTN),77215
Wifi Device Counter,nCounter,-38.1469395,144.3599357,unknown,unknown,LoraWAN (TTN),10002
Wifi Device Counter,nCounter,-38.1468119,144.3588074,unknown,unknown,LoraWAN (TTN),57658
Wifi Device Counter,Cisco Meraki,-38.147929,144.358854,unknown,unknown,Not LoraWAN,18919
Wifi Device Counter,Cisco Meraki,-38.14768,144.361951,unknown,unknown,Not LoraWAN,23230
Parking,Turbo,-38.1482576,144.3638867,2P Parrallel,Active,LoraWAN (TTN),99410
Parking,Turbo,-38.1526821,144.3634288,2P Median,Active,LoraWAN (TTN),72437
Parking,Turbo,-38.1485746,144.3602221,2P Parrallel,Active,LoraWAN (TTN),87662
Parking,Turbo,-38.1475031,144.3573301,2P Parrallel,Active,LoraWAN (TTN),52265
Wifi Device Counter,nCounter,-38.1424258,144.360149,unknown,Inactive,LoraWAN (TTN),87959
Wifi Device Counter,nCounter,-38.1439919,144.3637687,unknown,Inactive,LoraWAN (TTN),80088
Wifi Device Counter,nCounter,-38.1454818,144.3657981,unknown,Inactive,LoraWAN (TTN),5170
Wifi Device Counter,nCounter,-38.1469338,144.3711246,unknown,Active,LoraWAN (TTN),69491
Wifi Device Counter,nCounter,-38.1746141,144.3430678,unknown,Active,LoraWAN (TTN),1880
Wifi Device Counter,nCounter,-38.1274401,144.3549584,unknown,Active,LoraWAN (TTN),23769
Weather Station,Atmos,-38.1220226,144.3591414,unknown,Active,LoraWAN (TTN),40095
Weather Station,Atmos,-38.1456638,144.3587789,unknown,Active,LoraWAN (TTN),72283
Weather Station,Atmos,-38.1274401,144.3549584,unknown,Inactive,Not LoraWAN,49722
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,13698
Wifi Device Counter,nCounter,-38.1687756,144.3512498,unknown,Active,Not LoraWAN,97297
Wifi Device Counter,Cisco Meraki,-38.143849,144.362906,unknown,unknown,Not LoraWAN,41023
Wifi Device Counter,nCounter,-38.1458692,144.3581138,unknown,Active,Not LoraWAN,97534
Wifi Device Counter,nCounter,-38.1496014,144.3608612,unknown,unknown,Not LoraWAN,29818
Wifi Device Counter,nCounter,-38.1470072,144.3565397,unknown,unknown,Not LoraWAN,10653
Wifi Device Counter,nCounter,-38.14762,144.3622749,unknown,Active,Not LoraWAN,5752
Parking,Turbo,-38.148484,144.362902,2P Parrallel,Active,LoraWAN (TTN),1295
Parking,Turbo,-38.1484674,144.3631551,2P Parrallel,Active,LoraWAN (TTN),77600
Parking,Turbo,-38.1515048,144.3643487,2P Diagonal,Active,LoraWAN (TTN),30027
Parking,Turbo,-38.1495576,144.3603029,2P Parrallel,Active,LoraWAN (TTN),74112
Parking,Turbo,-38.1510081,144.3579266,2P Parrallel,Active,LoraWAN (TTN),3643
Parking,Turbo,-38.1512738,144.3581845,2P Parrallel,Active,LoraWAN (TTN),27835
Parking,Turbo,-38.1472291,144.3567211,2P Parrallel,Active,LoraWAN (TTN),88632
Parking,Turbo,-38.1483292,144.3648312,2P Parrallel,Active,LoraWAN (TTN),55348
Wifi Device Counter,nCounter,-38.1430798,144.361831,unknown,Active,LoraWAN (TTN),77955
Wifi Device Counter,nCounter,-38.1463294,144.367355,unknown,Inactive,LoraWAN (TTN),19232
Wifi Device Counter,nCounter,-38.1479277,144.3588385,unknown,Active,LoraWAN (TTN),47293
Weather Station,Atmos,-38.1861465,144.3938752,unknown,Active,Not LoraWAN,18498
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,89789
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,92235
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,98000
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,45876
Wifi Device Counter,nCounter,-38.1494367,144.3774611,unknown,Active,LoraWAN (TTN),50043
Wifi Device Counter,nCounter,-38.1446587,144.3592925,unknown,Assigned,LoraWAN (TTN),28114
Indoor Temp Sensor,Elsys.SE ESM5K,-38.144711,144.360452,unknown,unknown,LoraWAN (TTN),2936
Indoor Temp Sensor,Elsys.SE ESM5K,-38.1468119,144.3588074,unknown,unknown,LoraWAN (TTN),23296
Wifi Device Counter,nCounter,-38.1493122,144.3770579,unknown,Active,LoraWAN (TTN),36507
Wifi Device Counter,nCounter,-38.1447631,144.3595969,unknown,Active,LoraWAN (TTN),69432
Wifi Device Counter,nCounter,-38.1496014,144.3608612,unknown,unknown,LoraWAN (TTN),77678
Wifi Device Counter,nCounter,-38.1489155,144.3584489,unknown,Active,LoraWAN (TTN),22467
Wifi Device Counter,nCounter,-38.1474393,144.3576924,unknown,Active,LoraWAN (TTN),53490
Wifi Device Counter,Cisco Meraki,-38.148573,144.361279,unknown,unknown,Not LoraWAN,49113
Parking,Turbo,-38.1521818,144.3642471,2P Diagonal,Active,LoraWAN (TTN),67222
Parking,Turbo,-38.1525202,144.3632244,2P Parrallel,Active,LoraWAN (TTN),26799
Parking,Turbo,-38.1485123,144.3611459,2P Parrallel,Active,LoraWAN (TTN),91379
Parking,Turbo,-38.1495716,144.3610219,2P Parrallel,Active,LoraWAN (TTN),34013
Parking,Turbo,-38.1498852,144.3614617,2P Parrallel,Active,LoraWAN (TTN),45859
Parking,Turbo,-38.1510205,144.3573064,2P Parrallel,Active,LoraWAN (TTN),17979
Parking,Turbo,-38.1483584,144.3646351,2P Median,Active,LoraWAN (TTN),94155
Parking,Turbo,-38.1432402,144.3611037,3P Diagonal,Active,LoraWAN (TTN),92450
Parking,Turbo,-38.1514218,144.364608,2P Diagonal,To be installed,LoraWAN (TTN),39355
Wifi Device Counter,nCounter,-38.1467049,144.3683997,unknown,Active,LoraWAN (TTN),38747
Wifi Device Counter,nCounter,-38.1475187,144.3737408,unknown,Inactive,LoraWAN (TTN),60194
Wifi Device Counter,nCounter,-38.1861465,144.3938752,unknown,Active,LoraWAN (TTN),74326
Wifi Device Counter,nCounter,-38.1220226,144.3591414,unknown,Active,LoraWAN (TTN),80204
Wifi Device Counter,nCounter,-38.1456638,144.3587789,unknown,Assigned,LoraWAN (TTN),73481
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,84119
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,43209
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,14516
Wifi Device Counter,nCounter,-38.1424258,144.360149,unknown,Inactive,LoraWAN (TTN),5614
Wifi Device Counter,nCounter,-38.1439919,144.3637687,unknown,Inactive,LoraWAN (TTN),64721
Wifi Device Counter,nCounter,-38.1454818,144.3657981,unknown,Inactive,LoraWAN (TTN),62086
Wifi Device Counter,nCounter,-38.1469338,144.3711246,unknown,Active,LoraWAN (TTN),72577
Wifi Device Counter,nCounter,-38.1746141,144.3430678,unknown,Active,LoraWAN (TTN),44485
Wifi Device Counter,nCounter,-38.1274401,144.3549584,unknown,Active,LoraWAN (TTN),20625
Weather Station,Atmos,-38.1220226,144.3591414,unknown,Active,LoraWAN (TTN),59155
Weather Station,Atmos,-38.1456638,144.3587789,unknown,Active,LoraWAN (TTN),79219
Weather Station,Atmos,-38.1274401,144.3549584,unknown,Inactive,Not LoraWAN,2481
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,19225
Wifi Device Counter,nCounter,-38.1687756,144.3512498,unknown,Active,Not LoraWAN,62896
Wifi Device Counter,Cisco Meraki,-38.143849,144.362906,unknown,unknown,Not LoraWAN,29994
Wifi Device Counter,nCounter,-38.1458692,144.3581138,unknown,Active,Not LoraWAN,81421
Wifi Device Counter,nCounter,-38.1496014,144.3608612,unknown,unknown,Not LoraWAN,99970
Wifi Device Counter,nCounter,-38.1470072,144.3565397,unknown,unknown,Not LoraWAN,30262
Wifi Device Counter,nCounter,-38.14762,144.3622749,unknown,Active,Not LoraWAN,84589
Parking,Turbo,-38.148484,144.362902,2P Parrallel,Active,LoraWAN (TTN),81169
Parking,Turbo,-38.1484674,144.3631551,2P Parrallel,Active,LoraWAN (TTN),34216
Parking,Turbo,-38.1515048,144.3643487,2P Diagonal,Active,LoraWAN (TTN),28825
Parking,Turbo,-38.1495576,144.3603029,2P Parrallel,Active,LoraWAN (TTN),91238
Parking,Turbo,-38.1510081,144.3579266,2P Parrallel,Active,LoraWAN (TTN),19887
Parking,Turbo,-38.1512738,144.3581845,2P Parrallel,Active,LoraWAN (TTN),4962
Parking,Turbo,-38.1472291,144.3567211,2P Parrallel,Active,LoraWAN (TTN),64738
Parking,Turbo,-38.1483292,144.3648312,2P Parrallel,Active,LoraWAN (TTN),19964
Wifi Device Counter,nCounter,-38.1430798,144.361831,unknown,Active,LoraWAN (TTN),26729
Wifi Device Counter,nCounter,-38.1463294,144.367355,unknown,Inactive,LoraWAN (TTN),84266
Wifi Device Counter,nCounter,-38.1479277,144.3588385,unknown,Active,LoraWAN (TTN),79850
Weather Station,Atmos,-38.1861465,144.3938752,unknown,Active,Not LoraWAN,6913
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,39991
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,48347
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,56290
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,14499
Wifi Device Counter,nCounter,-38.1494367,144.3774611,unknown,Active,LoraWAN (TTN),9527
Wifi Device Counter,nCounter,-38.1446587,144.3592925,unknown,Assigned,LoraWAN (TTN),5027
Indoor Temp Sensor,Elsys.SE ESM5K,-38.144711,144.360452,unknown,unknown,LoraWAN (TTN),3511
Indoor Temp Sensor,Elsys.SE ESM5K,-38.1468119,144.3588074,unknown,unknown,LoraWAN (TTN),25530
Wifi Device Counter,nCounter,-38.1493122,144.3770579,unknown,Active,LoraWAN (TTN),73189
Wifi Device Counter,nCounter,-38.1447631,144.3595969,unknown,Active,LoraWAN (TTN),57774
Wifi Device Counter,nCounter,-38.1496014,144.3608612,unknown,unknown,LoraWAN (TTN),9701
Wifi Device Counter,nCounter,-38.1489155,144.3584489,unknown,Active,LoraWAN (TTN),10066
Wifi Device Counter,nCounter,-38.1474393,144.3576924,unknown,Active,LoraWAN (TTN),68425
Wifi Device Counter,Cisco Meraki,-38.148573,144.361279,unknown,unknown,Not LoraWAN,78510
Parking,Turbo,-38.1521818,144.3642471,2P Diagonal,Active,LoraWAN (TTN),78295
Parking,Turbo,-38.1525202,144.3632244,2P Parrallel,Active,LoraWAN (TTN),40974
Parking,Turbo,-38.1485123,144.3611459,2P Parrallel,Active,LoraWAN (TTN),13983
Parking,Turbo,-38.1495716,144.3610219,2P Parrallel,Active,LoraWAN (TTN),40781
Parking,Turbo,-38.1498852,144.3614617,2P Parrallel,Active,LoraWAN (TTN),52792
Parking,Turbo,-38.1510205,144.3573064,2P Parrallel,Active,LoraWAN (TTN),51579
Parking,Turbo,-38.1483584,144.3646351,2P Median,Active,LoraWAN (TTN),53402
Parking,Turbo,-38.1432402,144.3611037,3P Diagonal,Active,LoraWAN (TTN),50120
Parking,Turbo,-38.1514218,144.364608,2P Diagonal,To be installed,LoraWAN (TTN),84577
Wifi Device Counter,nCounter,-38.1467049,144.3683997,unknown,Active,LoraWAN (TTN),6902
Wifi Device Counter,nCounter,-38.1475187,144.3737408,unknown,Inactive,LoraWAN (TTN),67460
Wifi Device Counter,nCounter,-38.1861465,144.3938752,unknown,Active,LoraWAN (TTN),18487
Wifi Device Counter,nCounter,-38.1220226,144.3591414,unknown,Active,LoraWAN (TTN),19236
Wifi Device Counter,nCounter,-38.1456638,144.3587789,unknown,Assigned,LoraWAN (TTN),19038
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,97933
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,81287
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,30052
Wifi Device Counter,nCounter,-38.1424258,144.360149,unknown,Inactive,LoraWAN (TTN),82151
Wifi Device Counter,nCounter,-38.1439919,144.3637687,unknown,Inactive,LoraWAN (TTN),70660
Wifi Device Counter,nCounter,-38.1454818,144.3657981,unknown,Inactive,LoraWAN (TTN),40986
Wifi Device Counter,nCounter,-38.1469338,144.3711246,unknown,Active,LoraWAN (TTN),74347
Wifi Device Counter,nCounter,-38.1746141,144.3430678,unknown,Active,LoraWAN (TTN),2535
Wifi Device Counter,nCounter,-38.1274401,144.3549584,unknown,Active,LoraWAN (TTN),31005
Weather Station,Atmos,-38.1220226,144.3591414,unknown,Active,LoraWAN (TTN),61611
Weather Station,Atmos,-38.1456638,144.3587789,unknown,Active,LoraWAN (TTN),32321
Weather Station,Atmos,-38.1274401,144.3549584,unknown,Inactive,Not LoraWAN,7719
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,42105
Wifi Device Counter,nCounter,-38.1687756,144.3512498,unknown,Active,Not LoraWAN,69831
Wifi Device Counter,Cisco Meraki,-38.143849,144.362906,unknown,unknown,Not LoraWAN,13579
Wifi Device Counter,nCounter,-38.1458692,144.3581138,unknown,Active,Not LoraWAN,80587
Wifi Device Counter,nCounter,-38.1496014,144.3608612,unknown,unknown,Not LoraWAN,9683
Wifi Device Counter,nCounter,-38.1470072,144.3565397,unknown,unknown,Not LoraWAN,85014
Wifi Device Counter,nCounter,-38.14762,144.3622749,unknown,Active,Not LoraWAN,13165
Parking,Turbo,-38.148484,144.362902,2P Parrallel,Active,LoraWAN (TTN),63653
Parking,Turbo,-38.1484674,144.3631551,2P Parrallel,Active,LoraWAN (TTN),84652
Parking,Turbo,-38.1515048,144.3643487,2P Diagonal,Active,LoraWAN (TTN),91798
Parking,Turbo,-38.1495576,144.3603029,2P Parrallel,Active,LoraWAN (TTN),71452
Parking,Turbo,-38.1510081,144.3579266,2P Parrallel,Active,LoraWAN (TTN),81502
Parking,Turbo,-38.1512738,144.3581845,2P Parrallel,Active,LoraWAN (TTN),10086
Parking,Turbo,-38.1472291,144.3567211,2P Parrallel,Active,LoraWAN (TTN),30050
Parking,Turbo,-38.1483292,144.3648312,2P Parrallel,Active,LoraWAN (TTN),11235
Wifi Device Counter,nCounter,-38.1430798,144.361831,unknown,Active,LoraWAN (TTN),5351
Wifi Device Counter,nCounter,-38.1463294,144.367355,unknown,Inactive,LoraWAN (TTN),33296
Wifi Device Counter,nCounter,-38.1479277,144.3588385,unknown,Active,LoraWAN (TTN),47248
Weather Station,Atmos,-38.1861465,144.3938752,unknown,Active,Not LoraWAN,42494
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,89419
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,34840
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,41891
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,77418
Wifi Device Counter,nCounter,-38.1494367,144.3774611,unknown,Active,LoraWAN (TTN),65085
Wifi Device Counter,nCounter,-38.1446587,144.3592925,unknown,Assigned,LoraWAN (TTN),15979
Indoor Temp Sensor,Elsys.SE ESM5K,-38.144711,144.360452,unknown,unknown,LoraWAN (TTN),20855
Indoor Temp Sensor,Elsys.SE ESM5K,-38.1468119,144.3588074,unknown,unknown,LoraWAN (TTN),39117
Wifi Device Counter,nCounter,-38.1493122,144.3770579,unknown,Active,LoraWAN (TTN),22624
Wifi Device Counter,nCounter,-38.1447631,144.3595969,unknown,Active,LoraWAN (TTN),7995
Wifi Device Counter,nCounter,-38.1496014,144.3608612,unknown,unknown,LoraWAN (TTN),60762
Wifi Device Counter,nCounter,-38.1489155,144.3584489,unknown,Active,LoraWAN (TTN),73706
Wifi Device Counter,nCounter,-38.1474393,144.3576924,unknown,Active,LoraWAN (TTN),87430
Wifi Device Counter,Cisco Meraki,-38.148573,144.361279,unknown,unknown,Not LoraWAN,35844
Parking,Turbo,-38.1521818,144.3642471,2P Diagonal,Active,LoraWAN (TTN),83059
Parking,Turbo,-38.1525202,144.3632244,2P Parrallel,Active,LoraWAN (TTN),24400
Parking,Turbo,-38.1485123,144.3611459,2P Parrallel,Active,LoraWAN (TTN),98816
Parking,Turbo,-38.1495716,144.3610219,2P Parrallel,Active,LoraWAN (TTN),84954
Parking,Turbo,-38.1498852,144.3614617,2P Parrallel,Active,LoraWAN (TTN),43330
Parking,Turbo,-38.1510205,144.3573064,2P Parrallel,Active,LoraWAN (TTN),3690
Parking,Turbo,-38.1483584,144.3646351,2P Median,Active,LoraWAN (TTN),71998
Parking,Turbo,-38.1432402,144.3611037,3P Diagonal,Active,LoraWAN (TTN),38801
Parking,Turbo,-38.1514218,144.364608,2P Diagonal,To be installed,LoraWAN (TTN),47747
Wifi Device Counter,nCounter,-38.1467049,144.3683997,unknown,Active,LoraWAN (TTN),88553
Wifi Device Counter,nCounter,-38.1475187,144.3737408,unknown,Inactive,LoraWAN (TTN),67422
Wifi Device Counter,nCounter,-38.1861465,144.3938752,unknown,Active,LoraWAN (TTN),73554
Wifi Device Counter,nCounter,-38.1220226,144.3591414,unknown,Active,LoraWAN (TTN),60200
Wifi Device Counter,nCounter,-38.1456638,144.3587789,unknown,Assigned,LoraWAN (TTN),24040
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,82587
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,84760
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,3959
Wifi Device Counter,nCounter,-38.1424258,144.360149,unknown,Inactive,LoraWAN (TTN),52231
Wifi Device Counter,nCounter,-38.1439919,144.3637687,unknown,Inactive,LoraWAN (TTN),71634
Wifi Device Counter,nCounter,-38.1454818,144.3657981,unknown,Inactive,LoraWAN (TTN),59650
Wifi Device Counter,nCounter,-38.1469338,144.3711246,unknown,Active,LoraWAN (TTN),90051
Wifi Device Counter,nCounter,-38.1746141,144.3430678,unknown,Active,LoraWAN (TTN),81997
Wifi Device Counter,nCounter,-38.1274401,144.3549584,unknown,Active,LoraWAN (TTN),69045
Weather Station,Atmos,-38.1220226,144.3591414,unknown,Active,LoraWAN (TTN),22950
Weather Station,Atmos,-38.1456638,144.3587789,unknown,Active,LoraWAN (TTN),48166
Weather Station,Atmos,-38.1274401,144.3549584,unknown,Inactive,Not LoraWAN,81381
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,39346
Wifi Device Counter,nCounter,-38.1687756,144.3512498,unknown,Active,Not LoraWAN,55559
Wifi Device Counter,Cisco Meraki,-38.143849,144.362906,unknown,unknown,Not LoraWAN,76580
Wifi Device Counter,nCounter,-38.1458692,144.3581138,unknown,Active,Not LoraWAN,34827
Wifi Device Counter,nCounter,-38.1496014,144.3608612,unknown,unknown,Not LoraWAN,87288
Wifi Device Counter,nCounter,-38.1470072,144.3565397,unknown,unknown,Not LoraWAN,49526
Wifi Device Counter,nCounter,-38.14762,144.3622749,unknown,Active,Not LoraWAN,95730
Parking,Turbo,-38.148484,144.362902,2P Parrallel,Active,LoraWAN (TTN),81937
Parking,Turbo,-38.1484674,144.3631551,2P Parrallel,Active,LoraWAN (TTN),59570
Parking,Turbo,-38.1515048,144.3643487,2P Diagonal,Active,LoraWAN (TTN),52979
Parking,Turbo,-38.1495576,144.3603029,2P Parrallel,Active,LoraWAN (TTN),59461
Parking,Turbo,-38.1510081,144.3579266,2P Parrallel,Active,LoraWAN (TTN),61761
Parking,Turbo,-38.1512738,144.3581845,2P Parrallel,Active,LoraWAN (TTN),18458
Parking,Turbo,-38.1472291,144.3567211,2P Parrallel,Active,LoraWAN (TTN),76378
Parking,Turbo,-38.1483292,144.3648312,2P Parrallel,Active,LoraWAN (TTN),92342
Wifi Device Counter,nCounter,-38.1430798,144.361831,unknown,Active,LoraWAN (TTN),12460
Wifi Device Counter,nCounter,-38.1463294,144.367355,unknown,Inactive,LoraWAN (TTN),31579
Wifi Device Counter,nCounter,-38.1479277,144.3588385,unknown,Active,LoraWAN (TTN),15311
Weather Station,Atmos,-38.1861465,144.3938752,unknown,Active,Not LoraWAN,36860
Parking,Turbo,0,0,unknown,Active,Not LoraWAN,38142
